date,close
01/02/2012,179.46
02/02/2012,181.72
03/02/2012,187.68
06/02/2012,183.14
07/02/2012,184.19
08/02/2012,185.48
09/02/2012,184.98
10/02/2012,185.54
13/02/2012,191.59
14/02/2012,191.3
15/02/2012,184.47
16/02/2012,179.93
17/02/2012,182.5
21/02/2012,182.26
22/02/2012,180.58
23/02/2012,178.89
24/02/2012,179.13
27/02/2012,178.53
28/02/2012,183.8
29/02/2012,179.69
01/03/2012,180.04
02/03/2012,179.3
05/03/2012,180.26
06/03/2012,181.09
07/03/2012,183.77
08/03/2012,187.64
09/03/2012,184.32
12/03/2012,183.39
13/03/2012,184.59
14/03/2012,182.26
15/03/2012,184.43
16/03/2012,185.05
19/03/2012,185.52
20/03/2012,192.33
21/03/2012,191.73
22/03/2012,192.4
23/03/2012,195.04
26/03/2012,202.87
27/03/2012,205.44
28/03/2012,201.16
29/03/2012,204.61
30/03/2012,202.51
02/04/2012,198.05
03/04/2012,199.66
04/04/2012,193.99
05/04/2012,194.39
09/04/2012,191.87
10/04/2012,186.98
11/04/2012,187.97
12/04/2012,190.69
13/04/2012,188.46
16/04/2012,185.5
17/04/2012,188.39
18/04/2012,191.07
19/04/2012,191.1
20/04/2012,189.98
23/04/2012,188.24
24/04/2012,190.33
25/04/2012,194.42
26/04/2012,195.99
27/04/2012,226.85
30/04/2012,231.9
01/05/2012,230.04
02/05/2012,230.25
03/05/2012,229.45
04/05/2012,223.99
07/05/2012,225.16
08/05/2012,223.9
09/05/2012,222.98
10/05/2012,226.69
11/05/2012,227.68
14/05/2012,222.93
15/05/2012,224.39
16/05/2012,224.06
17/05/2012,218.36
18/05/2012,213.85
21/05/2012,218.11
22/05/2012,215.33
23/05/2012,217.28
24/05/2012,215.24
25/05/2012,212.89
29/05/2012,214.75
30/05/2012,209.23
31/05/2012,212.91
01/06/2012,208.22
04/06/2012,214.57
05/06/2012,213.21
06/06/2012,217.64
07/06/2012,218.8
08/06/2012,218.48
11/06/2012,216.5
12/06/2012,216.42
13/06/2012,214.73
14/06/2012,214.45
15/06/2012,218.35
18/06/2012,222.66
19/06/2012,224.03
20/06/2012,223.02
21/06/2012,220.58
22/06/2012,222.16
25/06/2012,220.07
26/06/2012,225.61
27/06/2012,225.62
28/06/2012,221.31
29/06/2012,228.35
02/07/2012,229.32
03/07/2012,229.53
05/07/2012,227.06
06/07/2012,225.05
09/07/2012,225.05
10/07/2012,219.5
11/07/2012,218.37
12/07/2012,215.36
13/07/2012,218.39
16/07/2012,216.01
17/07/2012,216.93
18/07/2012,217.47
19/07/2012,226.17
20/07/2012,228.29
23/07/2012,226.01
24/07/2012,223.04
25/07/2012,217.05
26/07/2012,220.01
27/07/2012,237.32
30/07/2012,236.09
31/07/2012,233.3
01/08/2012,232.09
02/08/2012,230.81
03/08/2012,234.97
06/08/2012,233.99
07/08/2012,236.56
08/08/2012,234.38
09/08/2012,234.06
10/08/2012,232.75
13/08/2012,232.44
14/08/2012,233.19
15/08/2012,237.42
16/08/2012,241.55
17/08/2012,241.17
20/08/2012,240.35
21/08/2012,239.45
22/08/2012,243.1
23/08/2012,241.2
24/08/2012,245.74
27/08/2012,243.92
28/08/2012,246.11
29/08/2012,247.12
30/08/2012,246.22
31/08/2012,248.27
04/09/2012,247.88
05/09/2012,246.22
06/09/2012,251.38
07/09/2012,259.14
10/09/2012,257.09
11/09/2012,255.67
12/09/2012,255.63
13/09/2012,260.24
14/09/2012,261.27
17/09/2012,258.0
18/09/2012,258.75
19/09/2012,261.68
20/09/2012,260.81
21/09/2012,257.47
24/09/2012,254.8
25/09/2012,252.46
26/09/2012,249.67
27/09/2012,256.59
28/09/2012,254.32
01/10/2012,252.01
02/10/2012,250.6
03/10/2012,255.92
04/10/2012,260.47
05/10/2012,258.51
08/10/2012,259.06
09/10/2012,250.96
10/10/2012,244.99
11/10/2012,244.22
12/10/2012,242.36
15/10/2012,244.18
16/10/2012,243.94
17/10/2012,247.49
18/10/2012,244.85
19/10/2012,240.0
22/10/2012,233.78
23/10/2012,234.31
24/10/2012,228.49
25/10/2012,222.92
26/10/2012,238.24
31/10/2012,232.89
01/11/2012,232.14
02/11/2012,232.42
05/11/2012,234.33
06/11/2012,237.56
07/11/2012,232.06
08/11/2012,227.35
09/11/2012,226.31
12/11/2012,226.47
13/11/2012,226.6
14/11/2012,222.95
15/11/2012,220.6
16/11/2012,225.23
19/11/2012,229.71
20/11/2012,233.78
21/11/2012,238.03
23/11/2012,239.88
26/11/2012,243.62
27/11/2012,243.4
28/11/2012,247.11
29/11/2012,251.27
30/11/2012,252.05
03/12/2012,250.33
04/12/2012,252.49
05/12/2012,253.96
06/12/2012,253.37
07/12/2012,253.27
10/12/2012,247.77
11/12/2012,250.69
12/12/2012,251.76
13/12/2012,251.25
14/12/2012,249.19
17/12/2012,253.86
18/12/2012,260.4
19/12/2012,257.99
20/12/2012,261.5
21/12/2012,256.92
24/12/2012,258.62
26/12/2012,248.63
27/12/2012,248.31
28/12/2012,245.18
31/12/2012,250.87
02/01/2013,257.31
03/01/2013,258.48
04/01/2013,259.15
07/01/2013,268.46
08/01/2013,266.38
09/01/2013,266.35
10/01/2013,265.34
11/01/2013,267.94
14/01/2013,272.73
15/01/2013,271.9
16/01/2013,268.93
17/01/2013,270.48
18/01/2013,272.12
22/01/2013,270.19
23/01/2013,268.11
24/01/2013,273.62
25/01/2013,283.99
28/01/2013,276.04
29/01/2013,260.35
30/01/2013,272.76
31/01/2013,265.5
01/02/2013,265.0
04/02/2013,259.98
05/02/2013,266.89
06/02/2013,262.22
07/02/2013,260.23
08/02/2013,261.95
11/02/2013,257.21
12/02/2013,258.7
13/02/2013,269.47
14/02/2013,269.24
15/02/2013,265.09
19/02/2013,269.75
20/02/2013,266.41
21/02/2013,265.94
22/02/2013,265.42
25/02/2013,259.87
26/02/2013,259.36
27/02/2013,263.25
28/02/2013,264.27
01/03/2013,265.74
04/03/2013,273.11
05/03/2013,275.59
06/03/2013,273.79
07/03/2013,273.88
08/03/2013,274.19
11/03/2013,271.24
12/03/2013,274.13
13/03/2013,275.1
14/03/2013,265.74
15/03/2013,261.82
18/03/2013,257.89
19/03/2013,256.41
20/03/2013,257.28
21/03/2013,253.39
22/03/2013,257.75
25/03/2013,256.02
26/03/2013,260.31
27/03/2013,265.3
28/03/2013,266.49
01/04/2013,261.61
02/04/2013,263.32
